Name,EID,"Communication, Signal Processing, Networks and Systems",Electronics and Integrated Circuits,Energy Systems and Renewable Energy,"Fields, Waves and Electromagnetic Systems",Nanoelectronics and Nanotechnology,Computer Architecture and Embedded Systems,Data Science and Information Processing,Software Engineering and Design,internet of things (IOT),internet / connectivity,"battery chargers, power",Rust programming,C programming,computer-aided design (CAD),machine learning principles,robotics,mechatronics,"FreeRTOS, IWi-SUN, CoAP, and IPv6 multicast",algorithm design,system modeling,dynamics,UX flow,system modeling,control systems,hardware interfacing,FPGA,image processing,RF signal processing,sensor characterization,design of experiment,navigation algorithm,blockchain,5G Networks
Name01,EID001,3,2,1,1,1,3,5,5,1,3,1,1,3,2,5,1,1,1,4,3,3,3,3,2,1,3,3,1,1,1,2,4,3
Name02,EID002,4,1,5,3,2,3,3,4,4,4,4,3,3,3,3,4,4,3,3,4,5,3,4,3,3,3,3,2,3,4,3,3,5
Name03,EID003,2,3,3,1,3,3,5,5,4,4,3,2,2,3,5,3,3,3,4,4,3,3,3,3,3,3,4,2,2,2,2,4,4
Name04,EID004,3,4,5,3,2,2,2,3,2,3,5,2,4,4,3,2,2,2,3,3,3,2,4,3,2,3,2,4,0,0,0,3,2
Name05,EID005,2,4,5,2,2,2,2,4,3,3,5,3,4,5,3,4,4,2,2,3,3,2,3,4,3,2,2,2,3,4,3,3,3
Name06,EID006,4,4,1,1,1,5,5,4,5,4,2,3,3,2,5,5,4,3,3,2,2,2,2,2,4,4,4,2,2,3,5,3,3
Name07,EID007,3,1,1,1,3,3,5,5,5,4,2,3,3,2,5,3,3,2,5,4,2,3,3,3,2,1,5,4,2,3,4,4,3
Name08,EID008,2,2,3,1,2,3,4,5,3,3,2,2,2,3,4,4,4,2,4,3,2,3,3,3,3,2,4,2,3,3,3,3,2
Name09,EID009,2,3,1,1,1,5,1,4,5,5,3,1,5,5,2,4,4,1,4,3,1,1,1,1,5,4,1,1,4,4,1,1,1
Name10,EID010,4,5,1,2,1,5,5,5,5,5,4,5,5,5,4,5,5,5,4,4,1,1,4,2,5,5,2,2,2,3,4,1,1
Name11,EID011,1,1,1,1,2,4,3,5,4,3,2,3,5,3,3,2,2,2,3,4,3,2,3,3,3,2,2,1,2,4,4,3,3
Name12,EID012,1,2,1,1,1,5,4,5,5,4,1,5,5,1,4,3,2,4,4,1,2,1,1,4,5,5,3,1,1,4,1,3,3
Name13,EID013,2,4,2,2,1,5,1,4,4,3,3,3,4,4,1,5,2,2,3,2,1,1,3,2,5,4,3,3,3,3,3,2,2
Name14,EID014,1,1,1,1,1,3,3,5,1,1,1,2,4,2,2,2,2,1,4,3,3,5,3,2,2,2,3,2,1,3,4,3,3
Name15,EID015,1,2,1,1,1,5,3,5,5,5,2,5,5,2,2,2,1,5,5,2,2,4,4,4,5,4,2,2,2,3,3,2,2
Name16,EID016,1,1,1,1,1,3,4,5,3,2,1,3,3,1,4,2,2,1,5,4,2,3,4,3,3,3,4,1,1,5,4,3,3
Name17,EID017,5,3,2,3,1,4,4,4,4,4,3,1,4,5,4,4,4,1,2,2,2,2,2,4,3,2,4,4,3,3,2,2,2
Name18,EID018,2,3,2,2,2,5,3,4,5,3,3,2,5,4,1,3,3,2,4,3,2,3,4,5,5,4,2,2,3,3,4,1,1
Name19,EID019,2,5,4,4,2,4,1,3,3,3,4,1,5,2,1,4,4,1,1,2,1,1,1,1,5,4,1,2,4,3,1,1,1
Name20,EID020,1,1,1,1,1,2,4,5,2,1,1,1,4,2,4,2,2,2,5,1,1,1,2,1,1,2,1,1,1,1,4,1,1
Name21,EID021,3,4,1,1,1,2,3,5,4,4,3,2,4,4,3,3,3,3,4,4,2,5,4,3,3,2,2,2,2,4,4,3,3
Name22,EID022,1,1,1,1,1,3,4,5,1,1,1,3,4,1,3,2,1,1,4,3,1,4,3,1,1,1,1,1,1,3,4,1,1
Name23,EID023,4,2,3,2,2,2,4,5,3,4,4,4,5,3,4,4,3,3,5,3,3,3,3,3,3,3,4,3,3,3,3,4,4
Name24,EID024,4,5,4,3,3,4,2,4,3,3,4,1,3,2,2,3,4,3,2,4,3,2,4,4,4,3,4,4,3,3,1,3,3
Name25,EID025,2,3,2,2,1,5,4,5,3,3,2,5,5,4,4,5,4,3,5,4,4,3,3,3,4,4,2,2,2,4,3,3,2
Name26,EID026,4,4,5,3,1,2,2,2,3,3,5,3,4,2,3,2,2,2,2,2,2,1,2,4,4,1,1,3,1,3,2,2,2
Name27,EID027,4,4,2,2,1,5,4,5,4,4,2,1,5,4,4,4,4,3,4,3,3,3,5,5,5,4,5,3,3,2,4,4,4
Name28,EID028,2,2,1,1,1,3,4,5,4,4,3,2,4,3,4,2,2,4,4,4,2,2,2,2,2,4,3,3,3,4,4,4,4
Name29,EID029,1,1,1,1,1,2,4,5,2,3,2,1,3,2,4,3,2,2,5,3,2,3,3,3,3,5,3,2,2,3,5,3,3
Name30,EID030,2,4,3,3,3,3,3,5,4,3,3,2,3,4,3,4,3,3,4,3,3,4,3,3,4,4,3,3,3,3,3,3,3
Name31,EID031,2,3,1,2,1,3,4,5,3,3,3,1,4,5,3,5,5,1,5,3,4,5,4,4,3,3,2,1,4,4,4,1,1
Name32,EID032,3,5,3,3,3,5,4,5,5,5,4,5,5,4,4,5,4,5,5,5,3,4,5,3,5,5,4,3,4,4,4,3,4
Name33,EID033,2,2,2,2,2,4,4,5,3,4,3,3,4,2,3,3,2,1,4,3,2,3,2,2,1,1,2,1,3,3,4,4,4
Name34,EID034,1,1,1,1,1,4,4,5,4,4,1,1,2,1,3,1,1,3,3,2,1,4,1,1,1,1,1,1,1,3,3,3,3
Name35,EID035,1,1,2,1,1,2,2,5,4,3,1,3,3,3,2,1,1,2,1,2,1,4,2,2,2,2,1,1,2,2,2,4,4
Name36,EID036,3,4,3,4,3,4,4,5,4,4,4,3,3,2,4,4,3,2,4,3,3,3,4,3,4,3,4,3,3,2,4,4,3
Name37,EID037,5,1,1,4,1,4,5,3,3,3,2,2,4,2,5,4,3,1,4,3,3,2,4,5,4,2,5,5,3,3,4,2,4
Name38,EID038,2,2,1,1,1,5,4,5,5,4,3,2,5,2,4,3,3,3,4,4,2,3,3,3,4,3,3,2,2,2,4,4,3
Name39,EID039,1,1,1,1,1,2,3,5,1,1,1,3,4,2,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,4,2,1
Name40,EID040,3,5,2,2,2,5,2,3,4,4,4,2,4,3,2,3,2,2,3,3,2,2,2,2,4,5,2,2,2,3,3,2,3
Name41,EID041,4,5,1,3,2,4,4,4,4,4,3,1,4,3,1,1,1,1,3,3,3,4,2,3,2,4,2,2,2,4,4,2,2
Name42,EID042,4,4,4,2,1,5,5,5,2,2,4,3,4,5,5,5,5,1,3,2,3,2,2,4,4,1,5,2,1,3,4,4,1
Name43,EID043,4,4,2,2,2,5,5,5,3,3,3,3,5,3,4,4,3,2,5,4,3,3,4,4,4,4,4,3,4,4,5,5,5
Name44,EID044,3,1,5,3,2,4,2,4,3,3,5,2,4,5,3,4,4,1,2,1,1,1,1,3,3,4,3,3,3,2,2,1,2
Name45,EID045,3,3,1,2,1,2,4,5,2,2,1,1,4,4,5,5,3,1,5,5,5,5,5,3,2,2,2,1,5,4,4,1,1
Name46,EID046,2,4,5,3,1,2,2,4,3,3,5,1,4,4,3,3,4,2,4,4,2,4,3,3,4,3,2,2,2,2,2,1,1
Name47,EID047,4,2,1,2,4,4,5,5,4,4,2,1,4,5,5,5,5,5,4,4,2,5,4,4,2,2,5,4,2,4,3,1,4
Name48,EID048,3,4,1,2,1,5,4,5,3,3,3,1,5,4,1,1,1,1,4,4,4,4,4,4,4,4,2,2,4,4,4,1,1
Name49,EID049,3,4,1,1,1,5,2,5,4,4,2,3,4,5,2,5,5,2,3,4,4,4,4,4,4,2,3,2,3,5,5,3,3
Name50,EID050,3,3,1,1,1,4,3,5,3,4,2,3,5,5,3,4,4,2,5,3,3,3,3,4,4,3,4,3,3,3,3,3,3
Name51,EID051,1,1,1,1,1,2,5,5,3,4,1,3,5,1,5,3,1,1,5,2,2,2,4,1,3,1,4,2,2,5,5,4,3
Name52,EID052,5,4,2,3,3,2,1,1,4,4,4,2,4,3,2,3,3,3,2,2,3,2,2,3,3,3,4,4,4,3,3,4,4
Name53,EID053,3,5,4,2,2,3,4,3,4,4,5,3,3,3,3,4,3,3,3,3,3,2,2,4,5,5,4,4,4,4,3,4,4
Name54,EID054,1,1,1,1,1,3,5,5,4,4,2,2,4,3,5,3,3,3,5,3,3,3,3,2,1,1,1,1,1,1,3,3,3
Name55,EID055,3,3,3,3,3,2,3,5,5,5,1,1,5,3,3,1,1,1,4,1,1,4,1,1,1,1,1,5,1,1,1,5,5
Name56,EID056,4,5,1,2,2,5,5,5,4,4,2,5,5,1,4,5,4,2,4,2,2,4,2,3,4,4,4,3,2,2,4,2,2
Name57,EID057,5,4,5,4,3,1,1,1,1,1,4,1,2,3,1,3,3,1,1,4,3,1,4,4,4,1,1,3,3,4,1,1,2
Name58,EID058,2,3,2,2,1,3,4,5,4,4,3,3,5,3,5,3,2,2,5,4,5,5,4,3,3,4,2,3,2,5,3,3,3
Name59,EID059,3,3,4,4,2,3,3,2,2,2,4,2,3,2,3,2,2,1,1,1,3,3,2,4,4,3,3,3,3,3,3,2,2
Name60,EID060,3,3,1,1,3,4,5,5,3,3,3,2,5,4,4,5,3,3,5,3,2,5,2,3,3,3,4,3,3,4,4,3,3
Name61,EID061,3,3,2,2,2,4,5,5,3,3,3,3,5,3,5,3,3,3,5,3,3,3,3,3,5,5,3,3,3,3,3,3,3
Name62,EID062,4,3,4,3,4,4,4,5,4,4,3,2,4,3,2,2,2,2,5,4,4,4,4,3,3,4,4,4,4,5,4,4,4
Name63,EID063,3,3,3,3,2,2,3,5,3,3,3,2,4,3,3,2,2,3,4,3,3,3,3,3,2,2,3,3,3,3,3,3,3
Name64,EID064,2,2,1,1,1,5,1,3,3,3,3,1,5,1,1,1,1,4,2,3,1,1,1,4,4,4,1,1,1,1,3,1,3
Name65,EID065,4,3,2,2,3,3,3,4,3,4,2,1,4,3,4,4,4,1,5,3,3,2,3,4,3,2,5,3,3,5,4,3,3
Name66,EID066,1,1,1,1,1,3,2,5,3,3,3,3,5,4,5,4,4,1,5,4,3,5,4,1,3,4,5,3,5,5,5,5,5
Name67,EID067,3,1,2,2,2,4,5,5,4,4,2,2,4,3,4,4,2,3,4,4,2,3,3,3,2,2,4,2,3,3,4,4,4
Name68,EID068,3,5,3,3,3,4,3,4,4,4,4,2,5,4,3,4,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3
Name69,EID069,2,3,2,1,2,5,4,5,2,2,3,1,5,4,4,5,5,1,5,3,1,1,3,5,5,4,4,3,3,5,2,1,1
Name70,EID070,2,1,1,1,1,2,5,4,2,2,1,2,4,5,5,5,4,3,2,3,2,2,2,1,1,1,4,3,1,3,2,3,3
Name71,EID071,4,2,1,2,1,4,4,4,4,4,4,1,4,3,3,2,2,3,4,3,2,3,2,3,4,3,3,2,3,4,3,3,2
Name72,EID072,3,3,2,1,1,5,5,5,5,5,1,1,4,2,5,4,4,1,5,5,3,4,5,5,3,4,2,1,3,5,4,2,1
Name73,EID073,3,5,4,3,3,4,3,4,4,4,3,3,4,4,2,2,2,3,1,1,1,1,1,1,3,4,1,2,3,1,1,1,3
Name74,EID074,1,1,1,1,1,4,5,5,4,2,2,2,4,2,4,2,2,2,4,2,2,2,2,2,2,2,4,2,2,4,4,4,2
Name75,EID075,2,3,2,2,2,3,3,5,3,3,3,3,4,5,4,5,4,2,5,4,2,2,4,2,2,2,3,2,2,3,4,3,2
Name76,EID076,4,4,3,3,3,4,4,5,5,5,4,3,5,4,3,3,3,3,4,5,4,5,5,5,4,4,3,3,4,5,5,5,5
Name77,EID077,4,5,2,3,3,4,2,2,2,2,2,1,4,2,2,4,4,1,1,1,1,1,1,2,4,4,2,4,4,4,2,1,1
Name78,EID078,1,1,1,1,1,1,3,5,1,1,1,3,5,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,1,3,3,4,1
Name79,EID079,3,4,4,5,3,1,2,1,3,3,4,2,1,1,3,4,4,2,2,2,4,3,2,4,3,1,2,3,3,2,2,3,3
Name80,EID080,3,2,1,2,1,5,5,5,5,5,1,5,5,4,3,5,4,2,4,5,1,5,5,5,3,2,4,1,2,2,4,3,2
Name81,EID081,2,1,1,1,2,2,5,5,5,4,1,3,5,4,4,4,3,2,5,3,2,5,3,2,3,2,5,3,3,3,5,5,5
Name82,EID082,5,1,1,1,1,1,5,5,5,4,2,4,5,4,4,4,2,5,5,2,1,4,2,1,1,4,4,2,1,1,5,5,5
Name83,EID083,3,3,1,2,1,3,5,5,2,2,1,1,5,4,3,2,2,1,5,3,3,3,3,3,3,4,4,3,3,4,3,1,1
Name84,EID084,4,5,3,5,4,3,3,4,4,4,4,3,3,3,4,5,5,3,3,3,3,3,3,4,4,3,2,2,3,4,4,3,3
Name85,EID085,2,4,3,5,5,4,2,4,4,4,4,1,4,3,3,3,3,2,4,4,4,2,4,5,5,1,1,3,3,4,4,2,3
Name86,EID086,4,4,3,4,1,5,2,5,3,2,4,3,5,5,2,5,4,3,3,3,3,2,3,5,4,2,2,3,3,3,3,2,3
Name87,EID087,4,5,4,3,2,4,5,5,4,5,4,3,2,2,5,4,2,2,3,2,3,2,2,2,4,5,2,5,2,4,2,2,3
Name88,EID088,5,4,3,4,2,5,4,3,5,4,3,2,4,4,4,5,2,2,4,5,5,3,5,5,4,3,5,3,4,3,4,2,5
Name89,EID089,2,3,1,3,1,5,3,5,2,4,1,1,5,3,3,3,3,1,4,2,1,1,1,3,2,2,3,2,2,4,3,2,3
Name90,EID090,3,5,4,3,3,1,2,1,3,3,5,3,3,3,1,3,3,2,2,3,3,3,4,4,5,5,3,3,3,3,2,3,3
Name91,EID091,1,1,1,1,1,4,2,5,3,2,1,1,4,2,2,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1
Name92,EID092,3,4,2,4,3,4,3,3,3,4,4,2,5,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2
Name93,EID093,2,2,3,1,1,1,4,5,3,3,1,3,2,2,2,2,1,1,3,1,1,2,1,1,2,1,1,1,1,3,3,3,3
Name94,EID094,3,2,3,2,2,5,3,5,3,3,1,1,4,1,3,1,1,1,3,3,1,1,1,2,3,2,2,2,2,3,2,2,2
Name95,EID095,3,4,2,4,4,4,3,3,1,3,3,1,4,5,4,5,4,1,2,2,2,2,2,2,4,1,2,2,2,4,2,1,3
Name96,EID096,3,4,4,4,3,2,2,1,3,3,4,3,2,4,2,4,3,3,2,3,3,3,3,3,4,3,4,4,3,3,3,3,3
Name97,EID097,2,3,1,2,1,2,2,5,3,3,3,3,4,2,2,3,3,1,5,3,3,1,3,4,2,1,1,2,2,3,2,1,1
Name98,EID098,1,2,1,2,3,3,5,5,5,5,2,2,5,3,5,3,1,2,4,3,3,4,2,2,5,2,5,2,4,2,2,4,3
Name99,EID099,1,1,1,1,1,5,3,4,5,4,2,5,5,4,4,5,5,4,4,4,4,3,4,4,5,3,3,2,2,4,4,3,2
